# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_acceptor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ABCA5	ENSG00000154265	ENST00000587607	non_stop_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000588665	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000589609	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000592568	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCA5	ENSG00000154265	ENST00000593153	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCB11	ENSG00000073734	ENST00000263817	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000297504	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000358849	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000466514	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000482309	nonsense_mediated_decay	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000482899	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000498578	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCB8	ENSG00000197150	ENST00000542328	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000399408	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC1	ENSG00000103222	ENST00000399410	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC13	ENSG00000243064	ENST00000429114	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000376887	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000536256	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABCC4	ENSG00000125257	ENST00000629385	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000265586	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000334444	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000382494	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000392579	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000427120	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000437205	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000437341	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000438979	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000443376	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5	ENSG00000114770	ENST00000446941	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC5-AS1	ENSG00000223882	ENST00000422946	antisense	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ABCC6	ENSG00000091262	ENST00000205557	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABCC6	ENSG00000091262	ENST00000456970	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABCC6	ENSG00000091262	ENST00000574094	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCC6	ENSG00000091262	ENST00000576683	retained_intron	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1
ABCC6	ENSG00000091262	ENST00000622290	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000261200	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000261201	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000326684	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000538350	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000621589	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCC9	ENSG00000069431	ENST00000636888	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000370214	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000484213	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCD3	ENSG00000117528	ENST00000493416	processed_transcript	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000222388	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000287844	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000441774	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000468073	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABCF2	ENSG00000033050	ENST00000473874	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000343687	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000347800	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000361802	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398437	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398449	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000398457	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000450121	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG1	ENSG00000160179	ENST00000462050	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABCG2	ENSG00000118777	ENST00000237612	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCG2	ENSG00000118777	ENST00000503830	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABCG2	ENSG00000118777	ENST00000515655	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD17B	ENSG00000107362	ENST00000333421	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD17B	ENSG00000107362	ENST00000377041	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000258884	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000558464	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000559506	processed_transcript	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000560126	processed_transcript	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABHD17C	ENSG00000136379	ENST00000560609	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000284322	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000466947	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000470336	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000471714	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000471901	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000478235	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000487012	retained_intron	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000487249	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000495063	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000495591	protein_coding	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000497021	retained_intron	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000528305	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000528490	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000533795	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABI3BP	ENSG00000154175	ENST00000534413	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000372348	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABL1	ENSG00000097007	ENST00000393293	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000277895	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000369252	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000369253	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000369256	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000369266	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000392952	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000392955	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000428430	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM1	ENSG00000099204	ENST00000533213	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000341937	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000361581	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000361737	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000407564	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000428004	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000447017	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000502800	processed_transcript	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000505872	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000510277	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000514025	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABLIM2	ENSG00000163995	ENST00000515079	processed_transcript	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
ABLIM2	ENSG00000163995	ENST00000545242	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000309868	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000326685	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000504238	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000506113	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000508983	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABLIM3	ENSG00000173210	ENST00000515171	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000291107	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000302538	protein_coding	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
ABR	ENSG00000159842	ENST00000536794	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000543210	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000544583	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000571022	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000572152	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000572441	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574139	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574257	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000574266	protein_coding	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ABR	ENSG00000159842	ENST00000574437	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000575934	protein_coding	0	0	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000576668	retained_intron	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABR	ENSG00000159842	ENST00000577052	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABTB2	ENSG00000166016	ENST00000435224	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
ABTB2	ENSG00000166016	ENST00000530814	processed_transcript	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC000036.4	ENSG00000225929	ENST00000449652	antisense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AC000374.1	ENSG00000227249	ENST00000434698	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AC002056.5	ENSG00000254499	ENST00000532913	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AC002066.1	ENSG00000237813	ENST00000446355	antisense	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AC002463.3	ENSG00000223646	ENST00000453459	lincRNA	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	1
AC002539.1	ENSG00000230258	ENST00000435112	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC002539.1	ENSG00000230258	ENST00000587325	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003005.4	ENSG00000268107	ENST00000599674	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AC003005.4	ENSG00000268107	ENST00000601674	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AC003088.1	ENSG00000226965	ENST00000435466	lincRNA	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
AC003090.1	ENSG00000223561	ENST00000456777	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC003958.6	ENSG00000108516	ENST00000435883	unprocessed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003973.5	ENSG00000269199	ENST00000600071	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC003984.1	ENSG00000235139	ENST00000446000	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC003984.1	ENSG00000235139	ENST00000450977	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC003988.1	ENSG00000234223	ENST00000447198	lincRNA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004004.2	ENSG00000270317	ENST00000603784	processed_pseudogene	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004386.4	ENSG00000213269	ENST00000393214	processed_pseudogene	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AC004448.5	ENSG00000235979	ENST00000456537	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004448.5	ENSG00000235979	ENST00000627753	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004448.5	ENSG00000235979	ENST00000629630	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004485.3	ENSG00000228944	ENST00000439839	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004535.2	ENSG00000236414	ENST00000422697	lincRNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004538.3	ENSG00000230333	ENST00000445839	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004837.3	ENSG00000106540	ENST00000446267	processed_pseudogene	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
AC004837.4	ENSG00000231951	ENST00000420748	antisense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AC004862.6	ENSG00000232667	ENST00000627003	antisense	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
AC004895.4	ENSG00000231704	ENST00000428901	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AC004895.4	ENSG00000231704	ENST00000435547	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AC004895.4	ENSG00000231704	ENST00000436915	lincRNA	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2
AC004901.1	ENSG00000232072	ENST00000433337	lincRNA	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
